,Price,Local,Surface,Bathroom,Floor
615,€ 990.000,4 ,187,2 ,3
616,€ 495.000,5+ ,160,2 ,1
618,€ 670.000,3 ,131,3 ,3
619,€ 249.000,3 ,67,2 ,4
621,€ 269.000,4 ,128,2 ,3
622,€ 450.000,4 ,120,1 ,3
623,€ 159.000,2 ,65,1 ,Piano rialzato
624,€ 459.000,4 ,121,2 ,4
631,€ 1.811.000,5+ ,277,3 ,Ultimo
632,€ 360.000,5 ,106,1 ,4
633,€ 290.000,4 ,95,2 ,Piano terra
634,€ 295.000,2 ,65,1 ,2
635,€ 158.000,3 ,60,1 ,Seminterrato
638,€ 195.000,2 ,70,1 ,Piano terra
639,€ 155.000,2 ,70,1 ,Piano rialzato
640,€ 835.000,5 ,200,2 ,1
642,€ 249.000,3 ,69,1 ,3
643,€ 199.000,3 ,90,2 ,2
644,€ 179.000,4 ,90,2 ,Piano terra
645,€ 167.000,2 ,55,2 ,Ultimo
646,€ 696.000,3 ,84,2 ,1
647,€ 139.000,2 ,54,1 ,2
648,€ 245.000,2 ,54,1 ,2
649,€ 189.000,2 ,54,1 ,1
651,PREZZO SU RICHIESTA,5+ ,470,3 ,3
652,€ 360.000,3 ,90,1 ,2
653,€ 1.950.000,5+ ,260,3+ ,5
655,€ 365.000,3 ,83,2 ,Piano terra
656,€ 1.250.000,5 ,245,3 ,Piano terra
657,€ 159.000,3 ,110,1 ,4
661,€ 790.000,5 ,167,2 ,4
662,€ 175.000,3 ,75,2 ,1
663,€ 249.000,3 ,100,2 ,1
664,€ 369.000,4 ,150,2 ,1
665,€ 600.000,3 ,130,2 ,5
666,€ 199.000,2 ,68,1 ,6
667,€ 210.000,3 ,75,1 ,Ultimo
668,€ 579.000,3 ,75,2 ,4
669,€ 280.000,3 ,75,1 ,Piano terra
670,€ 399.000,3 ,113,1 ,2
671,€ 379.000,4 ,140,2 ,2
672,€ 590.000,3 ,100,1 ,1
673,€ 249.000,2 ,67,1 ,7
674,€ 420.000,3 ,108,1 ,1
675,€ 455.000,3 ,83,2 ,5
677,€ 260.000,3 ,80,1 ,1
678,€ 950.000,5+ ,190,3 ,2
682,€ 680.000,4 ,108,2 ,5
683,€ 175.000,2 ,70,1 ,3
684,€ 189.000,4 ,119,1 ,Piano rialzato
685,€ 1.900.000,5+ ,275,3 ,Ultimo
686,€ 1.780.000,5 ,261,3 ,2
687,€ 215.000,3 ,95,1 ,3
688,€ 390.000,3 ,140,2 ,Piano terra
689,€ 515.000,3 ,108,1 ,7
691,€ 810.000,5+ ,191,3 ,1
693,€ 469.000,3 ,103,1 ,2
694,€ 353.800,3 ,85,1 ,2
696,€ 1.250.000,4 ,200,3 ,4
697,€ 145.000,2 ,70,1 ,1
698,PREZZO SU RICHIESTA,5+ ,290,3+ ,Ultimo
700,€ 160.000,2 ,53,1 ,1
701,€ 275.000,3 ,93,1 ,3
702,€ 1.950.000,5+ ,360,3+ ,2
703,€ 395.000,5+ ,150,2 ,Piano terra
705,€ 349.000,4 ,128,1 ,5
706,€ 260.000,4 ,135,2 ,Piano terra
707,€ 210.000,1 ,43,1 ,2
708,€ 230.000,4 ,110,2 ,Ultimo
709,€ 2.200.000,4 ,280,3+ ,Ultimo
711,€ 245.000,3 ,90,1 ,Ultimo
712,€ 335.000,3 ,80,1 ,Piano rialzato
713,€ 215.000,2 ,55,1 ,2
714,€ 300.000,2 ,60,1 ,2
715,€ 200.000,2 ,65,1 ,Ultimo
716,€ 420.000,3 ,100,2 ,Ultimo
